<pozició (x,y)>;<akkumlátor töltöttség (%)>;<sebbesség és megtett távolság>;<gyűjtött anyagok>
(34,32);100;3;
(35,31);100;3;
(36,31);100;3;
(36,32);100;3;
(36,32);100;3;
(35,31);100;3;
(34,32);100;3;
(34,32);100;3;
(34,32);100;3;
(34,32);100;3;
(33,32);100;3;
(34,32);100;3;
(35,31);100;3;
(36,32);100;3;
(35,32);100;3;
(35,31);100;3;
(35,32);100;3;
(34,33);100;3;
(34,34);100;3;
(34,35);100;3;
(35,35);100;3;
(35,35);100;3;
(34,34);100;3;
(34,34);100;3;
(33,35);100;3;
(32,34);100;3;
(33,34);100;3;
(34,35);100;3;
(33,34);100;3;
(34,33);100;3;
(35,34);100;3;
(35,33);100;3;
(36,32);100;3;
(37,31);100;3;
(37,31);100;3;
(36,32);100;3;
(36,32);100;3;
(37,31);100;3;
(36,30);100;3;
(37,31);100;3;
(37,31);100;3;
(38,31);100;3;
(38,32);100;3;
(38,32);100;3;
(38,31);100;3;
(39,30);100;3;
